dataset,metric_name,params_id,f1,precision,recall,support,predicted,rows,missing_rows,error
jmeter,jmeter_avg_elapsed_ms.csv,S2P60_SW30_Q0.015,0.4549520766773164,0.964769647696477,0.2976588628762542,2392,738,4321,8,
jmeter,jmeter_error_count.csv,S2P60_SW30_Q0.015,0.7023498694516972,0.576017130620985,0.8996655518394648,2392,3736,4321,8,
jmeter,jmeter_error_rate.csv,S2P60_SW30_Q0.015,0.7023498694516972,0.576017130620985,0.8996655518394648,2392,3736,4321,8,
jmeter,jmeter_p95_elapsed_ms.csv,S2P60_SW30_Q0.015,0.3496932515337423,0.9464944649446494,0.2144648829431438,2392,542,4321,8,
jmeter,jmeter_p99_elapsed_ms.csv,S2P60_SW30_Q0.015,0.3498124786907604,0.9482439926062847,0.2144648829431438,2392,541,4321,8,
jmeter,jmeter_request_count.csv,S2P60_SW30_Q0.015,0.56,0.9444444444444444,0.3979933110367893,2392,1008,4321,8,
jmeter,jmeter_success_count.csv,S2P60_SW30_Q0.015,0.56,0.9444444444444444,0.3979933110367893,2392,1008,4321,8,
prometheus,node_cpu_192.168.58.2_9100.csv,S2P120_SW8_Q0.0045,0.4602617299712735,0.9890260631001372,0.29991680532445925,2404,729,4321,0,
prometheus,node_memory_prometheus-prometheus-node-exporter-4vzw4_node-exporter.csv,S2P120_SW8_Q0.0045,0.3320650294015911,0.9856262833675564,0.19966722129783693,2404,487,4321,0,
prometheus,pod_cpu_adservice-7bb8787db5-nn8qf.csv,S2P120_SW8_Q0.0045,0.0,0.0,0.0,241,28,4321,0,
prometheus,pod_cpu_cartservice-dc9f4fb6d-5zvlb.csv,S2P120_SW8_Q0.0045,0.9467455621301775,0.898876404494382,1.0,240,267,4321,0,
prometheus,pod_cpu_checkoutservice-6d7ccbb6cf-7grk2.csv,S2P120_SW8_Q0.0045,1.0,1.0,1.0,240,240,4321,0,
prometheus,pod_cpu_currencyservice-7f9f695db5-pdjgs.csv,S2P120_SW8_Q0.0045,0.0,0.0,0.0,240,26,4321,0,
prometheus,pod_cpu_frontend-76c94f7cfb-6btgv.csv,S2P120_SW8_Q0.0045,0.9572301425661914,0.91796875,1.0,235,256,3295,0,
prometheus,pod_cpu_frontend-76c94f7cfb-tgzf2.csv,S2P120_SW8_Q0.0045,0.0,0.0,0.0,8,2,1029,0,
prometheus,pod_cpu_paymentservice-7cff85ccd7-t4x5j.csv,S2P120_SW8_Q0.0045,0.0,0.0,0.0,241,25,4321,0,
prometheus,pod_cpu_productcatalogservice-54c86d9f79-c5kbm.csv,S2P120_SW8_Q0.0045,0.9856262833675565,0.97165991902834,1.0,240,247,4321,0,
prometheus,pod_cpu_recommendationservice-6d8ddf5d5f-2tbnv.csv,S2P120_SW8_Q0.0045,0.9688715953307393,0.939622641509434,1.0,249,265,2948,0,
prometheus,pod_cpu_recommendationservice-6d8ddf5d5f-rs79j.csv,S2P120_SW8_Q0.0045,0.9812889812889813,0.963265306122449,1.0,236,245,1376,0,
prometheus,pod_cpu_shippingservice-846f8585d7-w4gkr.csv,S2P120_SW8_Q0.0045,0.9302325581395349,0.8695652173913043,1.0,240,276,4321,0,
prometheus,pod_memory_adservice-7bb8787db5-nn8qf.csv,S2P120_SW8_Q0.0045,0.0,0.0,0.0,241,31,4321,0,
prometheus,pod_memory_cartservice-dc9f4fb6d-5zvlb.csv,S2P120_SW8_Q0.0045,0.9876543209876543,0.975609756097561,1.0,240,246,4321,0,
prometheus,pod_memory_checkoutservice-6d7ccbb6cf-7grk2.csv,S2P120_SW8_Q0.0045,1.0,1.0,1.0,240,240,4321,0,
prometheus,pod_memory_currencyservice-7f9f695db5-pdjgs.csv,S2P120_SW8_Q0.0045,0.0,0.0,0.0,240,13,4321,0,
prometheus,pod_memory_frontend-76c94f7cfb-6btgv.csv,S2P120_SW8_Q0.0045,0.963855421686747,0.9302325581395349,1.0,240,258,3300,0,
prometheus,pod_memory_frontend-76c94f7cfb-tgzf2.csv,S2P120_SW8_Q0.0045,0.0,0.0,0.0,1,10,1022,0,
prometheus,pod_memory_paymentservice-7cff85ccd7-t4x5j.csv,S2P120_SW8_Q0.0045,0.0,0.0,0.0,241,6,4321,0,
prometheus,pod_memory_productcatalogservice-54c86d9f79-c5kbm.csv,S2P120_SW8_Q0.0045,0.9504950495049505,0.9056603773584906,1.0,240,265,4321,0,
prometheus,pod_memory_recommendationservice-6d8ddf5d5f-2tbnv.csv,S2P120_SW8_Q0.0045,0.9717741935483871,0.9525691699604744,0.9917695473251029,243,253,2942,0,
prometheus,pod_memory_recommendationservice-6d8ddf5d5f-rs79j.csv,S2P120_SW8_Q0.0045,0.9836065573770492,0.967741935483871,1.0,240,248,1380,0,
prometheus,pod_memory_shippingservice-846f8585d7-w4gkr.csv,S2P120_SW8_Q0.0045,0.0,0.0,0.0,240,27,4321,0,
prometheus,pod_restart_cartservice-dc9f4fb6d-5zvlb_server.csv,S2P120_SW8_Q0.0045,1.0,1.0,1.0,240,240,4321,0,
prometheus,pod_restart_currencyservice-7f9f695db5-pdjgs_server.csv,S2P120_SW8_Q0.0045,0.0,0.0,0.0,240,10,4321,0,
prometheus,pod_restart_paymentservice-7cff85ccd7-t4x5j_server.csv,S2P120_SW8_Q0.0045,0.0,0.0,0.0,241,723,4321,0,
