dataset,metric_name,params_id,segment_index,start_index,end_index,length,start_timestamp,end_timestamp,delay,hit_type,first_raw_pred_offset,first_raw_pred_index,raw_positive_in_segment,adjusted_positive_in_segment,adjusted_recall_in_segment
jmeter,jmeter_avg_elapsed_ms.csv,S2P60_SW30_Q0.015,1,301,540,240,1780033640,1780034835,7,late,45,346,1,0,0.0
jmeter,jmeter_avg_elapsed_ms.csv,S2P60_SW30_Q0.015,2,661,900,240,1780035440,1780036635,7,timely,0,661,16,240,1.0
jmeter,jmeter_avg_elapsed_ms.csv,S2P60_SW30_Q0.015,3,1028,1260,233,1780037275,1780038435,7,timely,0,1028,4,233,1.0
jmeter,jmeter_avg_elapsed_ms.csv,S2P60_SW30_Q0.015,4,1381,1620,240,1780039040,1780040235,7,late,23,1404,1,0,0.0
jmeter,jmeter_avg_elapsed_ms.csv,S2P60_SW30_Q0.015,5,1741,1980,240,1780040840,1780042035,7,late,9,1750,3,0,0.0
jmeter,jmeter_avg_elapsed_ms.csv,S2P60_SW30_Q0.015,6,2221,2460,240,1780043240,1780044435,7,late,35,2256,1,0,0.0
jmeter,jmeter_avg_elapsed_ms.csv,S2P60_SW30_Q0.015,7,2581,2779,199,1780045040,1780046030,7,timely,0,2581,4,199,1.0
jmeter,jmeter_avg_elapsed_ms.csv,S2P60_SW30_Q0.015,8,2781,2820,40,1780046040,1780046235,7,timely,0,2781,6,40,1.0
jmeter,jmeter_avg_elapsed_ms.csv,S2P60_SW30_Q0.015,9,2941,3180,240,1780046840,1780048035,7,late,19,2960,5,0,0.0
jmeter,jmeter_avg_elapsed_ms.csv,S2P60_SW30_Q0.015,10,3301,3540,240,1780048640,1780049835,7,late,15,3316,6,0,0.0
jmeter,jmeter_avg_elapsed_ms.csv,S2P60_SW30_Q0.015,11,3781,4020,240,1780051040,1780052235,7,late,9,3790,6,0,0.0
jmeter,jmeter_error_count.csv,S2P60_SW30_Q0.015,1,301,540,240,1780033640,1780034835,7,timely,3,304,237,240,1.0
jmeter,jmeter_error_count.csv,S2P60_SW30_Q0.015,2,661,900,240,1780035440,1780036635,7,timely,0,661,189,240,1.0
jmeter,jmeter_error_count.csv,S2P60_SW30_Q0.015,3,1028,1260,233,1780037275,1780038435,7,timely,0,1028,171,233,1.0
jmeter,jmeter_error_count.csv,S2P60_SW30_Q0.015,4,1381,1620,240,1780039040,1780040235,7,timely,0,1381,178,240,1.0
jmeter,jmeter_error_count.csv,S2P60_SW30_Q0.015,5,1741,1980,240,1780040840,1780042035,7,timely,0,1741,178,240,1.0
jmeter,jmeter_error_count.csv,S2P60_SW30_Q0.015,6,2221,2460,240,1780043240,1780044435,7,timely,0,2221,178,240,1.0
jmeter,jmeter_error_count.csv,S2P60_SW30_Q0.015,7,2581,2779,199,1780045040,1780046030,7,timely,0,2581,137,199,1.0
jmeter,jmeter_error_count.csv,S2P60_SW30_Q0.015,8,2781,2820,40,1780046040,1780046235,7,timely,0,2781,40,40,1.0
jmeter,jmeter_error_count.csv,S2P60_SW30_Q0.015,9,2941,3180,240,1780046840,1780048035,7,timely,0,2941,178,240,1.0
jmeter,jmeter_error_count.csv,S2P60_SW30_Q0.015,10,3301,3540,240,1780048640,1780049835,7,late,43,3344,197,0,0.0
jmeter,jmeter_error_count.csv,S2P60_SW30_Q0.015,11,3781,4020,240,1780051040,1780052235,7,timely,0,3781,178,240,1.0
jmeter,jmeter_error_rate.csv,S2P60_SW30_Q0.015,1,301,540,240,1780033640,1780034835,7,timely,3,304,237,240,1.0
jmeter,jmeter_error_rate.csv,S2P60_SW30_Q0.015,2,661,900,240,1780035440,1780036635,7,timely,0,661,189,240,1.0
jmeter,jmeter_error_rate.csv,S2P60_SW30_Q0.015,3,1028,1260,233,1780037275,1780038435,7,timely,0,1028,171,233,1.0
jmeter,jmeter_error_rate.csv,S2P60_SW30_Q0.015,4,1381,1620,240,1780039040,1780040235,7,timely,0,1381,178,240,1.0
jmeter,jmeter_error_rate.csv,S2P60_SW30_Q0.015,5,1741,1980,240,1780040840,1780042035,7,timely,0,1741,178,240,1.0
jmeter,jmeter_error_rate.csv,S2P60_SW30_Q0.015,6,2221,2460,240,1780043240,1780044435,7,timely,0,2221,178,240,1.0
