params_id,dataset,algorithm,f1,precision,recall,support,predicted,files,estimator,smoothing,period,s_w,p_w,half_d_w,q,delay,errors
S1PNA_SW3_Q0.002,JMeter,FluxEV,0.17618892153661989,0.9908200734394125,0.09669135212613474,16744,1634,7,MOM,1,,3,5,2,0.002,7,0
S1PNA_SW3_Q0.002,Prometheus 27 指标,FluxEV,0.48429262656171007,0.9574528840662478,0.32411793136781053,10345,3502,27,MOM,1,,3,5,2,0.002,7,0
S1PNA_SW3_Q0.0025,JMeter,FluxEV,0.18009118541033434,0.9875,0.09908026755852843,16744,1680,7,MOM,1,,3,5,2,0.0025,7,0
S1PNA_SW3_Q0.0025,Prometheus 27 指标,FluxEV,0.4833501513622603,0.9501275148767356,0.32411793136781053,10345,3529,27,MOM,1,,3,5,2,0.0025,7,0
S1PNA_SW3_Q0.003,JMeter,FluxEV,0.18401386331636518,0.9866434378629501,0.10146918299092213,16744,1722,7,MOM,1,,3,5,2,0.003,7,0
S1PNA_SW3_Q0.003,Prometheus 27 指标,FluxEV,0.48213387015601417,0.9407968574635241,0.32411793136781053,10345,3564,27,MOM,1,,3,5,2,0.003,7,0
S1PNA_SW3_Q0.0035,JMeter,FluxEV,0.18399393545592377,0.9854988399071926,0.10146918299092213,16744,1724,7,MOM,1,,3,5,2,0.0035,7,0
S1PNA_SW3_Q0.0035,Prometheus 27 指标,FluxEV,0.531954756783013,0.9426955238563699,0.3705171580473659,10345,4066,27,MOM,1,,3,5,2,0.0035,7,0
S1PNA_SW3_Q0.004,JMeter,FluxEV,0.22931953756004853,0.9877216916780355,0.12971810797897754,16744,2199,7,MOM,1,,3,5,2,0.004,7,0
S1PNA_SW3_Q0.004,Prometheus 27 指标,FluxEV,0.5544365813826891,0.9363364743737072,0.39381343644272593,10345,4351,27,MOM,1,,3,5,2,0.004,7,0
S1PNA_SW3_Q0.0045,JMeter,FluxEV,0.4207164227379316,0.651188986232791,0.31073817486860966,16744,7990,7,MOM,1,,3,5,2,0.0045,7,0
S1PNA_SW3_Q0.0045,Prometheus 27 指标,FluxEV,0.5456499747091552,0.7887040760372875,0.417109714838086,10345,5471,27,MOM,1,,3,5,2,0.0045,7,0
S1PNA_SW3_Q0.005,JMeter,FluxEV,0.420699413786133,0.6511074959329245,0.31073817486860966,16744,7991,7,MOM,1,,3,5,2,0.005,7,0
S1PNA_SW3_Q0.005,Prometheus 27 指标,FluxEV,0.49663348103815386,0.6136234357224118,0.417109714838086,10345,7032,27,MOM,1,,3,5,2,0.005,7,0
S1PNA_SW4_Q0.002,JMeter,FluxEV,0.18014985340427841,0.9910394265232975,0.09908026755852843,16744,1674,7,MOM,1,,4,5,2,0.002,7,0
S1PNA_SW4_Q0.002,Prometheus 27 指标,FluxEV,0.48429262656171007,0.9574528840662478,0.32411793136781053,10345,3502,27,MOM,1,,4,5,2,0.002,7,0
S1PNA_SW4_Q0.0025,JMeter,FluxEV,0.1801205146300418,0.9892665474060823,0.09908026755852843,16744,1677,7,MOM,1,,4,5,2,0.0025,7,0
S1PNA_SW4_Q0.0025,Prometheus 27 指标,FluxEV,0.5084913671101047,0.9487721151307104,0.3473175447075882,10345,3787,27,MOM,1,,4,5,2,0.0025,7,0
S1PNA_SW4_Q0.003,JMeter,FluxEV,0.20730207943550544,0.9877738155883852,0.11580267558528429,16744,1963,7,MOM,1,,4,5,2,0.003,7,0
S1PNA_SW4_Q0.003,Prometheus 27 指标,FluxEV,0.5073067419696435,0.9405759162303665,0.3473175447075882,10345,3820,27,MOM,1,,4,5,2,0.003,7,0
S1PNA_SW4_Q0.0035,JMeter,FluxEV,0.20719132339584337,0.9827673593512417,0.11580267558528429,16744,1973,7,MOM,1,,4,5,2,0.0035,7,0
S1PNA_SW4_Q0.0035,Prometheus 27 指标,FluxEV,0.5062345896442408,0.9332467532467532,0.3473175447075882,10345,3850,27,MOM,1,,4,5,2,0.0035,7,0
S1PNA_SW4_Q0.004,JMeter,FluxEV,0.2292106373997467,0.9836956521739131,0.12971810797897754,16744,2208,7,MOM,1,,4,5,2,0.004,7,0
S1PNA_SW4_Q0.004,Prometheus 27 指标,FluxEV,0.47677813163481947,0.7601015443198647,0.3473175447075882,10345,4727,27,MOM,1,,4,5,2,0.004,7,0
